FTPMC1B.TXT,Federal Test Procedure Motorcycle 1-B
"Test Time, secs Target Speed, kph",
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,4.8
22,9.4
23,13.8
24,18.4
25,22.9
26,27
27,27.7
28,29
29,33.1
30,34.7
31,35.8
32,36
33,35.4
34,34.4
35,33.4
36,32.6
37,31.7
38,27.2
39,23.8
40,23.8
41,24.3
42,24.8
43,25.6
44,27.4
45,30.6
46,33.8
47,36.3
48,36.6
49,36.3
50,36.2
51,34.1
52,30.4
53,27.4
54,25.3
55,25.3
56,28.3
57,31.7
58,34.6
59,37.1
60,38.7
61,39.4
62,39.8
63,40
64,39.4
65,39.2
66,39.5
67,39.7
68,39.5
69,39.4
70,39.4
71,40.2
72,41
73,41.1
74,40.6
75,39.8
76,40
77,40.6
78,41.6
79,41.6
80,41.1
81,41.8
82,42.7
83,44
84,45.8
85,46.9
86,47.7
87,48.2
88,48.6
89,49.1
90,49.1
91,48.8
92,48.6
93,48.5
94,48.6
95,49.3
96,48.6
97,47.8
98,47.2
99,47.7
100,48.5
101,49.1
102,49.4
103,49.6
104,49.4
105,48.6
106,47.7
107,47.8
108,48.3
109,49.1
110,49.9
111,50.9
112,51.5
113,51.8
114,51.5
115,50.7
116,45.8
117,40.5
118,35.2
119,29.9
120,24.6
121,19.4
122,14.1
123,8.8
124,3.5
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,3.4
165,6.8
166,10.3
167,13.7
168,17.1
169,20.5
170,23
171,25.2
172,26.7
173,27.4
174,26.6
175,26
176,25.6
177,25.9
178,26.1
179,26.3
180,26.7
181,28.2
182,27.5
183,24.9
184,23.5
185,20.1
186,18.3
187,17.8
188,18.8
189,19.3
190,20.7
191,23
192,25.4
193,28.3
194,31.6
195,34.7
196,37.5
197,38.6
198,40.7
199,42
200,43.6
201,45.1
202,46.7
203,47.7
204,48.5
205,49.2
206,49.2
207,49
208,48.9
209,48.7
210,48.7
211,48.7
212,48.7
213,48.7
214,48.9
215,49.1
216,49.6
217,50.2
218,50.9
219,51.3
220,51.8
221,52.4
222,52.8
223,53.4
224,54.1
225,55.1
226,56
227,56.6
228,56.9
229,57
230,56.9
231,56.6
232,56.6
233,56.8
234,57.1
235,57.5
236,57.7
237,58.1
238,58.3
239,58.6
240,58.7
241,58.7
242,58.5
243,58.5
244,58.5
245,58.5
246,58.5
247,58.5
248,58.4
249,58.1
250,57.8
251,57.1
252,56.6
253,56.2
254,55.9
255,55.6
256,55.5
257,55.8
258,55.9
259,56
260,56
261,55.7
262,55.3
263,54.9
264,54.5
265,54
266,54.3
267,53.9
268,53.8
269,53.6
270,53.4
271,53.5
272,53.7
273,54
274,54.4
275,54.9
276,55.4
277,55.9
278,56.9
279,57.4
280,57.6
281,58
282,58
283,57.8
284,57.2
285,56.5
286,55.5
287,54.4
288,53.4
289,53.4
290,53.4
291,52.9
292,51.9
293,51.8
294,51.9
295,51.8
296,51.4
297,51.3
298,51.3
299,51.3
300,50.9
301,50.3
302,49.8
303,48.9
304,47.8
305,46.6
306,45.4
307,44.1
308,43
309,41.8
310,39.9
311,38.3
312,36.5
313,35
314,33.7
315,32.6
316,31.7
317,31.6
318,31.1
319,30
320,28.5
321,25.7
322,22.3
323,20.8
324,19.8
325,19.2
326,17.6
327,16.1
328,12.9
329,11.2
330,8.3
331,4.9
332,1.5
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1.6
348,6.9
349,12.2
350,17.4
351,22.7
352,27.7
353,32
354,36
355,37.9
356,40.3
357,42.6
358,45
359,48
360,49.3
361,50.6
362,51.4
363,52.5
364,53.8
365,55.2
366,55.4
367,55.8
368,55.7
369,55.2
370,55.5
371,56.8
372,57.6
373,57.6
374,57.6
375,57.6
376,57.6
377,57.6
378,57.8
379,58.2
380,58.4
381,58.2
382,57.6
383,56.2
384,54.6
385,53.6
386,50.2
387,46.4
388,41.1
389,36.8
390,32.5
391,28
392,23.2
393,19.2
394,13.9
395,8.6
396,3.4
397,0
398,0
399,0
400,0
401,0
402,0
403,4.2
404,9.4
405,14.7
406,20
407,25.3
408,30.6
409,35.8
410,40
411,41
412,44
413,46.4
414,48
415,48.2
416,48
417,47.5
418,46.9
419,46.1
420,44.8
421,40
422,34.7
423,29.4
424,24.2
425,18.9
426,13.6
427,8.3
428,3
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,5.3
449,10.6
450,15.8
451,21.1
452,26.4
453,31.7
454,37
455,42.2
456,44.5
457,46.6
458,50.4
459,52.8
460,53.8
461,55.7
462,56.2
463,57
464,57.8
465,57.6
466,57.8
467,57.9
468,57.6
469,57.1
470,57.6
471,57.6
472,57
473,56.8
474,56.6
475,56.3
476,56.3
477,56.3
478,56.3
479,56.3
480,56.3
481,56
482,56.2
483,56.3
484,56.8
485,56.3
486,56
487,56
488,56
489,55.7
490,55.4
491,55.2
492,53.6
493,51.2
494,48.2
495,44.8
496,40.8
497,36
498,31.7
499,26.4
500,21.1
501,16.5
502,11.5
503,6.4
504,1.6
505,0
506,0
507,0
508,0
509,0
510,0
511,1.9
512,5.6
513,8.8
514,10.4
515,13.6
516,15.4
517,16.8
518,19
519,22.4
520,25.6
521,28.3
522,30.4
523,32.2
524,33.6
525,35.2
526,36.8
527,38.1
528,39.2
529,39.8
530,40
531,40
532,40
533,40
534,40
535,40
536,41
537,41.3
538,41.6
539,41
540,40.3
541,40
542,40
543,40
544,39
545,37
546,31.7
547,26.4
548,21.1
549,15.8
550,10.6
551,5.3
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,5.3
570,10.6
571,15.8
572,20.8
573,23.4
574,25.6
575,27.2
576,27.2
577,27.2
578,28
579,28.3
580,28.3
581,28
582,27.2
583,27
584,26.6
585,27.2
586,27.4
587,27.2
588,26.6
589,26.4
590,26.4
591,26.6
592,27.2
593,28.2
594,29.6
595,30.7
596,32.3
597,33.6
598,33.8
599,33.9
600,34.6
601,35.2
602,35.8
603,36
604,36
605,36
606,36.3
607,37.9
608,40.2
609,41.6
610,42.4
611,43.2
612,41.8
613,36.5
614,31.2
615,25.9
616,20.6
617,15.4
618,10.1
619,4.8
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,3.2
647,7.2
648,12.5
649,16.3
650,20
651,22.4
652,24.5
653,28
654,31.4
655,33.6
656,35.5
657,37.3
658,39.2
659,40.5
660,41
661,41.6
662,41.8
663,41.9
664,41.9
665,42.2
666,42.4
667,42.4
668,41.6
669,40.8
670,37.8
671,34.2
672,29.6
673,26.2
674,23.2
675,18.6
676,13.9
677,9.3
678,5.6
679,3.2
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,2.2
695,5.3
696,7
697,10.4
698,14.7
699,18.1
700,21.6
701,23.4
702,26.2
703,26.7
704,26.4
705,26.4
706,29.1
707,30.7
708,32.2
709,34.4
710,36
711,36
712,35.4
713,36.3
714,37.3
715,37.6
716,36
717,34.6
718,32.8
719,28.8
720,24
721,19.2
722,14.4
723,9.9
724,7.2
725,4.8
726,3.4
727,0.8
728,0.8
729,5.1
730,10.4
731,15.4
732,20
733,22.4
734,25.6
735,28.8
736,31.4
737,34.4
738,37
739,39.2
740,40.8
741,42.4
742,43.4
743,44.2
744,44.6
745,45.3
746,45.8
747,45.8
748,45.3
749,45.1
750,44.8
751,44
752,42.9
753,40.8
754,37.6
755,34.4
756,30.4
757,26.4
758,23.8
759,20
760,15
761,9.9
762,4.8
763,2.4
764,2.4
765,0.8
766,0
767,4.8
768,10.1
769,15.4
770,20.6
771,25.3
772,28
773,29.4
774,31.2
775,33.1
776,35.2
777,37.1
778,40
779,42.4
780,44
781,44.8
782,45.3
783,46.2
784,46.2
785,46.2
786,46.1
787,45.6
788,45.3
789,45.3
790,45.3
791,45.1
792,44.2
793,44
794,44
795,44
796,44
797,44
798,44
799,44.2
800,44.8
801,45.6
802,48
803,49.6
804,51.2
805,52.8
806,52.8
807,53.8
808,54.4
809,54.9
810,54.7
811,54.4
812,54.4
813,54.2
814,53.8
815,53
816,52.8
817,52
818,51.2
819,51
820,50.6
821,50.4
822,49
823,48
824,47.8
825,47.8
826,47.8
827,47.8
828,47.4
829,47.2
830,47.2
831,46.9
832,46.2
833,45.1
834,44.3
835,43.2
836,40.8
837,37.9
838,35.2
839,32.8
840,30.7
